mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
frogseg1       machine=frogger          
frogseg2       machine=frogger          
fromanc2       machine=fromanc2         
fromanc4       machine=fromanc4         
fromancr       machine=fromancr         
frontlin       machine=mcu              
ftimpcta       machine=fx1b             
funkybee       machine=funkybee         
funnymou       machine=suprmous         
funybubl       machine=funybubl         
ga2            machine=system32         
ga2j           machine=system32         
gaia           machine=gaia             
gaiden         machine=shadoww          
gakupara       machine=gakupara         
galaxyfg       machine=neogeo           
galhustl       machine=galhustl         
galpani2       machine=galpani2         
galpani4       machine=skns             
galpanib       machine=galpanib         
galpanic       machine=galpanic         
galpanis       machine=skns             
galpans2       machine=skns             
gametngk       machine=ms32             
ganryu         machine=neogeo           
gardia         machine=brain            
gardiab        machine=brain            
garou          machine=neogeo           
garouo         machine=neogeo           
garoup         machine=neogeo           
gberet         machine=gberet           
gberetb        machine=gberetb          
gblchmp        machine=f3_224a          
gcpinbal       machine=gcpinbal         
gdarius        machine=fx1b             
gdarius2       machine=fx1b             
gekiretu       machine=gekiretu         
gekirido       machine=f3               
genix          machine=pirates          
getstar        machine=slapfigh         
getstarb       machine=slapfigh         
getstarj       machine=slapfigh         
gfire2         machine=gfire2           
gghost         machine=balsente         
ggreats2       machine=opengolf         
ghunter        machine=deadang          
gigandes       machine=gigandes         
gigasb         machine=gigas            
gigasm2b       machine=gigas            
gigawing       machine=cps2             
gimeabrk       machine=balsente         
gladiatr       machine=gladiatr         
glass          machine=glass            
glfgreat       machine=glfgreat         
glfgretj       machine=glfgreat         
glprac2j       machine=zn               
glprac2l       machine=znlink           
glpracr        machine=zn               
glpracr2       machine=zn               
gmahou         machine=cps2             
gmissile       machine=m4               
gng            machine=gng              
gnga           machine=gng              
gngt           machine=gng              
goal92         machine=goal92           
goalx3         machine=neogeo           
godzilla       machine=godzilla         
goindol        machine=goindol          
goindolj       machine=goindol          
goindolu       machine=goindol          
gokuparo       machine=konamigx         
goldbug        machine=cvs              
golgo13        machine=coh700           
goonies        machine=vsnes            
gowcaizr       machine=neogeo           
gpilots        machine=neogeo           
gratia         machine=ms32             
gratiaa        machine=ms32             
gravitar       machine=gravitar         
gravitr2       machine=gravitar         
gravp          machine=gravitar         
grchamp        machine=grchamp          
grdians        machine=grdians          
greatgun       machine=greatgun         
greenber       machine=greenberet       
gridiron       machine=gridiron         
groundfx       machine=groundfx         
growl          machine=growl            
growlu         machine=growl            
grtwall        machine=grtwall          
grudge         machine=balsente         
gseeker        machine=f3_224b          
gseekerj       machine=f3_224b          
gseekeru       machine=f3_224b          
gslgr94u       machine=namconb1         
gstrik2        machine=gstrik2          
gstriker       machine=gstriker         
gsword         machine=gsword           
gtg            machine=tmshi2203        
gtg2j          machine=tmslo2203        
gtg2t          machine=tmshi2203        
gtmr           machine=gtmr             
gtmr2          machine=gtmr2            
gtmre          machine=gtmr             
gtmrusa        machine=gtmr             
guardian       machine=atarig42         
guiness        machine=strnskil         
gulfstr2       machine=gulfstrm         
gulfstrm       machine=gulfstrm         
gumbo          machine=gumbo            
gunbird        machine=gunbird          
gunbird2       machine=psikyo5          
gunbirdj       machine=gunbird          
gunbirdk       machine=gunbird          
gunbulet       machine=namconb1         
gunbustr       machine=gunbustr         
gundamex       machine=gundamex         
gundeala       machine=gundealr         
gundealr       machine=gundealr         
gundealt       machine=gundealr         
gundhara       machine=gundhara         
gunfight       machine=gunfight         
gunfronj       machine=gunfront         
gunfront       machine=gunfront         
gunlock        machine=f3_224a          
gunnail        machine=gunnail          
gunsmoka       machine=gunsmoke         
gunsmoke       machine=gunsmoke         
gunsmokj       machine=gunsmoke         
gunsmoku       machine=gunsmoke         
gururin        machine=neogeo           
gutangtn       machine=locomotn         
gutsn          machine=skns             
guwange        machine=guwange          
guzzler        machine=swimmer          
gwingj         machine=cps2             
gyrodine       machine=gyrodine         
gyruss         machine=gyruss           
gyrussce       machine=gyruss           
hachamf        machine=hachamf          
hal21          machine=hal21            
